,Unnamed: 0,title,text
0,0,The Meeting (2012 film),"The Meeting is a 2012 Nigerian romantic comedy drama film produced by Rita Dominic & Mildred Okwo and directed by Mildred Okwo. It stars Femi Jacobs, Rita Dominic, Linda Ejiofor, Kehinde Bankole and Jide Kosoko with Special Appearances from Nse Ikpe Etim, Kate Henshaw and Chinedu Ikedieze. It received 6 nominations at the 9th Africa Movie Academy Awards and won the award for the category Achievement In Make-Up. Plot The film opens at the Nnamdi Azikiwe International Airport, Abuja, with a phone conversation between Mr. Makinde Esho (Femi Jacobs) and his Managing director (Jide Kosoko). Makinde is reminded by his MD about how important it is for him to get an authorization from the Ministry of Land, and return to Lagos with a positive feedback. Just as Makinde is about to board a Taxi, he is interrupted by Ejura (Linda Ejiofor), a female Corp member who pleads for a Lift, as she is short on cash and there is a long queue at the ATM. Makinde refuses at first, but after much persuasion from Ejura, he reluctantly agrees. Even though Ejura had promised earlier to keep mute during the ride, her inquisitive nature gives Makinde facial expressions that prompt answers and eventually start a conversation. Mr Makinde arrives at the Ministry of land and is met by a scenario involving Mr. Ugor (Chinedu Ikedieze), being forced out of the building by security operatives. Makinde is in awe but manages to help find his way to the reception desk to meet the minister's discourteous secretary, Clara Ikemba (Rita Dominic). He is unapologetically informed by Clara that his meeting, which was originally scheduled for 9:30 am, has been moved to 4:30 pm. Makinde retires his stance and joins the other appointees who are all seated to see the minister. While waiting, Clara informs the appointees that she sells recharge cards and cold drinks to cater for their needs as they wait to see the minister, Ejura also calls Mr Makinde to thank him for the ride he gave to her earlier while he was having his lunch at a nearby eatery . Several hours has gone past and Makinde is yet to get a word from the secretary about his rescheduled meeting. He decides to inquire about it from her but to his surprise, she informs him rudely that the minister has already left the office. Makinde argues that she could have told him and others waiting, instead of making people waste their precious time. Clara replies him ""OYO (meaning On Your Own) is their case"", a slang which means everyman is responsible to himself and she has no business telling them to wait or go home. The meeting is eventually rescheduled for the following day. Makinde checks into a hotel. While trying to fight boredom, Ejura calls and eventually joins Makinde in the hotel in a bid to keep him company. Makinde is set to give his presentation to the minister on Tuesday morning, but just as the secretary is about to inform the minister of his presence, a group of Igbo kinsmen"
1,1,Ahaa Re,"Ahaa Re (2019) is a critically acclaimed Indian drama film directed by noted Bengali filmmaker Ranjan Ghosh. It is the third feature film by the director known for his earlier films Hrid Majharey and Rongberonger Korhi. It features Arifin Shuvoo, Rituparna Sengupta, Amrita Chattopadhyay, Paran Bandopadhyay and Deepankar De. The film is Produced by Bhavna-Aj-O-Kal. Plot Farhaz Chowdhury, a top chef from Dhaka, first falls in love with her cooking and then with Basundhara — a woman who runs a home catering service. Ahaa Re is a celebration of food, and the love for it. More precisely, it's a celebration of the invested emotions and senses that turns cooking into an art form. And all this comes with a generous dollop of Bangaliana. Cast Arifin Shuvoo as Farhaz Chowdhury/Raja Rituparna Sengupta as Basundhara Amrita Chattopadhyay as Shahida, Farhaz's girlfriend Paran Bandopadhyay as Atanu Ganguly, Basundhara's father-in-law Deepankar De as Abhijit Sen, Farhaz's stepfather Shakuntala Barua as Debjani Sen, Farhaz's mother Shubhro Sankha Das as Bappa, Basundhara's brother-in-law Anuvab Pal as Kamaljeet, Farhaz's friend Alamgir (actor) as Restaurant Owner Production The filming officially began at mid 2018 in Kolkata. Costume design and Make-up The film's costumes were designed by Shreyasi Bose. Make-up artists for Rituparna Sengupta were Anup Malakar, Malati Das and Shandha Poddar. Shumon Shaha did the make-up for Arifin Shuvoo. Kishore Das was the make-up artist for the rest of the actors. Soundtrack The soundtrack of Ahaa Re was composed by Savvy. Track listing Release The film was released in India on 22 February 2019. References External links Category:Indian films Category:2019 films Category:2010s Bengali-language films"
2,2,Werner Dreßel,"Werner Dreßel (born 30 August 1958 in Hambach) is a German football coach and a former player. As a player, he spent nine seasons in the Bundesliga with SV Werder Bremen, Hamburger SV, 1. FC Nürnberg and Borussia Dortmund. Honours Bundesliga: 1981–82 Bundesliga runner-up: 1980–81 DFB-Pokal finalist: 1981–82 References External links Category:Living people Category:1958 births Category:Association football forwards Category:German footballers Category:German football managers Category:SV Werder Bremen players Category:Hamburger SV players Category:1. FC Nürnberg players Category:Borussia Dortmund players Category:Eintracht Braunschweig players Category:Viktoria Aschaffenburg players Category:Bundesliga players Category:2. Bundesliga players Category:3. Liga managers"
3,3,Gink,"Gink may refer to: Boob Fowler (1900–1988), American Major League Baseball player Harvey Hendrick (1897–1941), American American Major League Baseball player Hotel de Gink, a series of self-service American hotels created by and for homeless men, starting in 1913 Wink Gink, a short-lived advertising character for Wink (soft drink) ""GINK"" (""green inclinations, no kids""), a variation of DINK (acronym), people who choose not to have children for environmental reasons See also Captain Gincks (), sometimes spelled Ginks, a privateer based in New York"
4,4,East Coast,"East Coast may refer to: Entertainment East Coast hip hop, a subgenre of hip hop ""East Coast"" (ASAP Ferg song), 2017 ""East Coast"" (Saves the Day song), 2004 East Coast FM, a radio station in Co. Wicklow, Ireland East Coast Swing, a form of social partner dance Places East Coast of the United States Eastern United States (by extension of the above) East Coast (New Zealand electorate) Atlantic Canada, New Brunswick, Prince Edward Island, Nova Scotia, and Newfoundland and Labrador Australian south-east coast drainage division, an area of southern Australia Eastern states of Australia East Region, Singapore Gisborne District, area of New Zealand referred to as the East Coast Levante, Spain, eastern region of the Iberian Peninsula East coast of India or Eastern Coastal Plains, includes the Coromandel Coast Transportation East Coast (train operating company), a former train company in the UK East Coast Buses, a subsidiary of Lothian Buses in Scotland East Coast Greenway, biking and walking route in U.S. East Coast Main Line, English railway link East Coast Parkway, an expressway on the southeastern coast of Singapore East Coast Railway Zone (India), one of the sixteen railway zones of Indian Railways Florida East Coast Railway, a Class II railroad operating in the US state of Florida New Brunswick East Coast Railway, a historic Canadian railway that operated in New Brunswick East Coast of Peninsular Malaysia London North Eastern Railway, UK train company Other East coast akalat, a small passerine bird East Coast bias, when American East Coast sports teams are given undue weight by broadcasters East Coast Borough Council, proposed name for Ards and North Down Borough Council, Northern Ireland, UK"
5,5,Junior Fisher,Junior Fisher (born 2 April 1978) is a Caymanian footballer who plays as a defender. He has represented the Cayman Islands at full international level. References Category:Association football defenders Category:Living people Category:1978 births Category:Caymanian footballers Category:Cayman Islands international footballers Category:George Town SC players Category:Scholars International players
6,6,Sandersdorf,"Sandersdorf is a village and a former municipality in the district of Anhalt-Bitterfeld, in Saxony-Anhalt, Germany. Since 1 July 2009, it is part of the town Sandersdorf-Brehna. It is situated approximately 5 km west of Bitterfeld, and 27 km northeast of Halle (Saale). The village contains the Sandersdorf Castle, a 17th-century stately home erected on the site of a fortified castle from the mid 12th century. It is the birthplace of German author Johann Gottfried Schnabel. References Category:Villages in Saxony-Anhalt Category:Bezirk Halle ro:Sandersdorf"
7,7,Bundesautobahn 671,"is an autobahn in the federal state of Hesse, Germany. It begins as a continuation of Mainzer Straße (Bundesstraße 263) in Wiesbaden from its junction with A 66 and connects the center of the Hessian capital city with A 60. Exit list |} External links 671 A671"
8,8,Giulliana Succine,"Giulliana Rocha de Barros Rego (born 30 July 1991), better known as Giulli Succine, is a Brazilian actress and psychologist. He began his career at the age of 11 in the theater with the play O Cinema e a Dança. Already in the television participated in programs like Rebelde, Milagres de Jesus and Sol Nascente. Biography Giulliana Rocha de Barros Rego was born on 30 July 1991 in Barra da Tijuca, a neighborhood in the southern part of Rio de Janeiro. He made his debut in theater at the age of 11, in 2002, with the play O Cinema e Dança, secondly as protagonist the following year in A Bela e a Fera, soon after A Noviça Rebelde in 2004. In 2010, he made his television debut in the miniseries A Vida Alheia produced by Rede Globo under the direction of Cininha de Paula. Two years later, he participated in the remake of Rebelde, a novel produced by RecordTV, where it was directed by Ivan Zettel. In the year of 2014, appeared in the episode of premiere of the biblical series Milagres de Jesus. Between 2015 at 2017, he joined the stand-ins team of the series Escolinha do Professor Raimundo, adaptation of the original creation of Chico Anysio, where he worked alongside Ellen Roche. In 2016, he starred opposite the actor Bruno Gagliasso during the novel Sol Nascente, a month later reappeared in Malhação: Pro Dia Nascer Feliz, where the character Tânia lived in his youth. After 14 years out of the theater, Giulliana returned in 2018 with the play Noite da Comédia Improvisada at Teatro Leblon in Rio de Janeiro, who stayed had a second season with the actress in September of the same year. Personal life In April 2019 he took up a relationship with Daniel Lamassa through Instagram. She is a cousin of the journalist Luca Moreira. Career Television Movies Internet Theater Advertising Campaigns References External links Giulliana Succine on AdoroCinema Category:1991 births Category:Living people Category:Actresses from Rio de Janeiro (city) Category:Brazilian television actresses Category:Brazilian film actresses"
9,9,Booba Barnes,"Roosevelt Melvin ""Booba"" Barnes (September 25, 1936 – April 2, 1996) was an American Delta blues guitar player and vocalist. One commentator noted that Barnes, R. L. Burnside, Big Jack Johnson, Paul ""Wine"" Jones and James ""Super Chikan"" Johnson were ""present-day exponents of an edgier, electrified version of the raw, uncut Delta blues sound."" Career Born in Longwood, Washington County, Mississippi, United States, Barnes got his start in 1960 as a member of the Swinging Gold Coasters, a local Mississippi blues outfit. He relocated to Chicago in 1964, where he played in bars and clubs, but returned to Mississippi in 1971 and continued to perform locally into the early 1980s. In 1984, Barnes hooked up with Lil' Dave Thompson when the latter was aged 15, and the duo played on Mississippi's juke joint circuit. Barnes opened a nightclub, the Playboy Club, in 1985, and played there with a backing group called the Playboys; they became regional blues favorites, and eventually signed to Rooster Blues, who released Barnes's debut effort in 1990. The album was hailed by Allmusic as ""an instant modern classic"", and Guitar Player called Barnes ""a wonderfully idiosyncratic guitar player and an extraordinary vocalist by any standard"". Barnes toured the U.S. and Europe following the album's release. Barnes's career was interrupted in the middle of the decade when he was diagnosed with lung cancer, and he died of the disease in April 1996 in Chicago, aged 59. Discography The Heartbroken Man (Rooster Blues, 1990) References Category:1936 births Category:1996 deaths Category:American blues guitarists Category:American male guitarists Category:American blues singers Category:American male singers Category:Singers from Mississippi Category:People from Washington County, Mississippi Category:Blues musicians from Mississippi Category:Deaths from cancer in Illinois Category:Deaths from lung cancer Category:20th-century American singers Category:20th-century American guitarists Category:Guitarists from Mississippi Category:20th-century male singers"
