Id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,mainDirector,numVotes,mainDirectorBirthYear,mainDirectorDeathYear,MainDirectorPrimaryProfession,mainWriter,mainWriterBirthYear,mainWriterDeathYear,MainWriterPrimaryProfession,titleLength,genres,genderVoters,worldPromotion,Downloads,prefVotersCountry,firstShownCountry,Cash,averageRating
0,short,Susans längtan,Susans längtan,0,2009,,23.0,Kristian A. Söderström,32,,,"producer,director,writer",Kristian A. Söderström,,,"producer,director,writer",14,"['Drama', 'Horror', 'Short']",17.0,1,7658,SM,KM,34010,6.5
1,movie,Evangelion: 2.0 You Can (Not) Advance,Evangerion shin gekijôban: Ha,0,2009,,112.0,Masayuki,13110,1961.0,,"animation_department,assistant_director,art_department",Hideaki Anno,1960.0,,"director,art_department,writer",29,"['Action', 'Animation', 'Drama']",6513.0,0,2703,LR,MV,21356,8.0
2,short,The Grocer,The Grocer,0,2010,,7.0,Ivan Miguel Guerrero,5,,,"writer,director",Josh Couwenhoven,,,"producer,writer",10,"['Crime', 'Drama', 'Short']",2.0,1,7541,TC,CM,27177,9.0
3,tvMovie,La part de l'ombre,La part de l'ombre,0,2000,,,Philippe Venault,6,1947.0,,"director,writer,miscellaneous",Catherine Ramberg,,,writer,18,"['Drama', 'Thriller', None]",1.0,1,4446,SZ,BQ,55620,5.8
4,movie,Aalaapana,Aalaapana,0,1986,,,Vamshi,10,1956.0,,"director,writer,composer",Tanikella Bharani,,,"actor,writer,director",9,"['Drama', 'Musical', 'Thriller']",7.0,0,4671,BM,LT,5147,6.4
5,movie,"Giakoumis, mia romeiki kardia","Giakoumis, mia romeiki kardia",0,1970,,101.0,Apostolos Tegopoulos,45,1936.0,2007.0,"director,writer,producer",Panos Kontellis,,,"writer,assistant_director",29,"['Drama', None, None]",25.0,1,2204,BY,JM,3408,4.1
6,tvEpisode,Prisoners,Prisoners,0,1988,,,Russ Mayberry,39,1925.0,2012.0,"director,producer,miscellaneous",James Lee Barrett,1929.0,1989.0,"writer,miscellaneous,producer",9,"['Crime', 'Drama', 'Mystery']",6.0,1,9701,ZA,NG,2889,8.6
7,movie,Loitolla,Loitolla,0,2012,,105.0,Emil Kakko,6,,,"director,producer,writer",Emil Kakko,,,"director,producer,writer",8,"['Drama', 'Thriller', None]",2.0,0,-1,SS,GS,6475,7.7
8,tvEpisode,Day the Dinosaurs Died,Day the Dinosaurs Died,0,2017,,53.0,Ben Lawrie,36,,,"director,producer,writer",Sarah Holt,,,"editor,producer,director",22,"['Biography', 'Documentary', None]",26.0,1,1155,AT,BJ,40145,8.1
9,tvEpisode,Evermore,Evermore,0,2015,,43.0,David McWhirter,537,,,"assistant_director,director,producer",Kevin Williamson,1965.0,,"writer,producer,actor",8,"['Crime', 'Drama', 'Mystery']",257.0,1,-1,KH,BI,23861,7.8
10,movie,Toy Masters,Toy Masters,0,2012,,97.0,Roger Lay Jr.,11,,,"producer,director,writer",Corey Landis,,,"actor,soundtrack,writer",11,"['Biography', 'Comedy', 'Documentary']",2.0,0,3058,SV,SB,14221,8.7
11,short,Weeds,Weeds,0,2007,,4.0,Ken Kornacki,8,,,"visual_effects,director,writer",Ken Kornacki,,,"visual_effects,director,writer",5,"['Animation', 'Short', None]",2.0,0,9929,BE,FK,47271,6.5
12,tvSeries,Be with You,Be with You,0,2015,2015.0,48.0,Cheng-Ming Ko,6,,,"director,cinematographer",Kai-Chu Chen,,,writer,11,"['Drama', None, None]",2.0,0,9251,RO,NE,1907,6.7
13,tvMovie,Quest for the Lost Ark,Quest for the Lost Ark,0,2008,,,Martin Kemp,21,,,"director,producer,writer",Martin Kemp,,,"director,producer,writer",22,"['Documentary', None, None]",16.0,1,6808,LT,GQ,25845,4.1
14,movie,Les patates,Les patates,0,1969,,100.0,Claude Autant-Lara,95,1901.0,2000.0,"director,writer,costume_designer",Jacques Vaucherot,,,writer,11,"['Comedy', 'Drama', None]",25.0,1,-1,MA,MH,53694,5.4
15,tvEpisode,"Don't Worry, I'm a Ghost","Don't Worry, I'm a Ghost",0,2012,,71.0,Lee Eun-Jin,97,,,director,Da-eun Hwang,,,writer,24,"['Drama', None, None]",2.0,1,-1,ES,AS,39098,6.8
16,tvEpisode,Scenario of the Locked Steam Room: Part 1,Scenario of the Locked Steam Room: Part 1,0,2010,,,Hirohito Ochi,11,,,"director,art_department,assistant_director",Gosho Aoyama,1963.0,,"writer,animation_department",41,"['Animation', 'Comedy', 'Crime']",0.0,1,-1,KE,AL,3477,6.8
17,short,Halloween Red Harvest,Halloween Red Harvest,0,2013,,17.0,Dave McRae,25,1979.0,,"actor,director,writer",Leah Kellar,,,"writer,actress,editor",21,"['Horror', 'Short', None]",15.0,0,348,KY,DK,22337,5.4
18,movie,Cidade Cinza,Cidade Cinza,0,2013,,85.0,Marcelo Mesquita,139,,,"producer,director,editor",Marcelo Mesquita,,,"producer,director,editor",12,"['Biography', 'Documentary', 'History']",97.0,0,3874,MN,SN,49781,7.2
19,short,OMG! It's a Western Standoff!,OMG! It's a Western Standoff!,0,2012,,5.0,Benjamin Beresford,5,,,"cinematographer,director,writer",Benjamin Beresford,,,"cinematographer,director,writer",29,"['Comedy', 'Family', 'Short']",1.0,0,3621,ML,VA,55527,7.4
20,short,Greetings from Croatia,Greetings from Croatia,0,1991,,12.0,Goce Vaskov,20,,,"director,writer,visual_effects",Stjepan Bartolic,,,"animation_department,art_department,director",22,"['Short', None, None]",16.0,0,4870,GP,FI,38081,8.8
21,tvEpisode,Disappearing Act,Disappearing Act,0,1996,,44.0,David Semel,54,,,"producer,director,editorial_department",Darren Star,1961.0,,"writer,producer,miscellaneous",16,"['Drama', 'Romance', None]",41.0,1,9070,TD,NL,45970,6.3
22,tvEpisode,The Cheap Sheep Sweep,The Cheap Sheep Sweep,0,1993,,,Roy Wilson,5,,2017.0,"art_department,animation_department,producer",Steve Cuden,,,"writer,soundtrack,director",21,"['Animation', 'Comedy', 'Crime']",4.0,0,558,NC,AO,38589,8.5
23,movie,In the Land of Canaan,In the Land of Canaan,0,2016,,88.0,Joey Papa,7,,,"producer,director,editor",Jack Roberts,1979.0,,"writer,producer,actor",21,"['Documentary', None, None]",2.0,0,2235,PM,NO,5094,8.6
24,tvEpisode,Indian Charlie,Indian Charlie,0,1953,,23.0,Hollingsworth Morse,13,1910.0,1988.0,"director,assistant_director,casting_director",George W. Trendle,1884.0,1972.0,"writer,producer",14,"['Western', None, None]",5.0,0,5585,AU,NZ,59342,7.8
25,tvEpisode,Mort,Mort,0,2002,,47.0,Christoph Schrewe,57,1964.0,,"director,producer,writer",Jeffrey Hirschfield,,,"actor,writer,producer",4,"['Adventure', 'Comedy', 'Fantasy']",42.0,1,489,BY,LR,17066,7.0
26,tvEpisode,Triumph Over Tragedy,Triumph Over Tragedy,0,2014,,,Gregory J. Bonann,8,1952.0,,"producer,writer,assistant_director",Gregory J. Bonann,1952.0,,"producer,writer,assistant_director",20,"['Adventure', 'Comedy', 'Drama']",8.0,1,3904,SM,NE,1886,4.1
27,short,Winter Sea,Winter Sea,0,2004,,25.0,Erika Tasini,16,,,"writer,director,producer",Maeve McQuillan,,,"writer,assistant_director,producer",10,"['Drama', 'Short', None]",6.0,0,7564,MP,LS,16357,6.6
28,tvMiniSeries,Karl der Grosse,Karl der Grosse,0,2013,,,Gabriele Wengler,40,,,"director,writer,cinematographer",Robert Krause,,,"writer,director,cinematographer",15,"['Biography', 'History', None]",26.0,1,-1,LC,CL,43639,7.2
29,tvEpisode,State of Mind,State of Mind,0,2012,,23.0,Charlie Bean,62,,,"animation_department,art_department,director",Mark Litton,,,"writer,miscellaneous",13,"['Action', 'Adventure', 'Animation']",45.0,1,1842,LI,BV,2955,8.3
30,movie,The Deal,El-Maslaha,0,2012,,115.0,Sandra Nashaat,1243,,,"director,assistant_director",Wael Abd-Allah,,,"writer,producer,director",10,"['Action', 'Crime', 'Drama']",321.0,1,6119,NI,ZW,7285,7.0
31,movie,Penny & Red: The Life of Secretariat's Owner,Penny & Red: The Life of Secretariat's Owner,0,2013,,60.0,John Tweedy,8,,,"editor,cinematographer,director",Beret Strong,,,"producer,writer,cinematographer",44,"['Biography', 'Documentary', 'History']",6.0,1,6128,KG,NI,30138,6.3
32,tvEpisode,Krtek a vlastovka,Krtek a vlastovka,0,2000,,5.0,Zdenek Miler,31,1921.0,2011.0,"director,writer,art_director",Zdenek Miler,1921.0,2011.0,"director,writer,art_director",17,"['Animation', 'Family', 'Fantasy']",29.0,1,693,AX,SL,11166,7.3
33,movie,The Alpha Incident,The Alpha Incident,0,1978,,95.0,Bill Rebane,591,1937.0,,"director,producer,cinematographer",Ingrid Neumayer,,,"writer,casting_director",18,"['Sci-Fi', None, None]",266.0,1,183,YT,BI,41295,3.6
34,tvSeries,Corte tropical,Corte tropical,0,1990,1992.0,30.0,Errol Falcon,16,1948.0,,"director,producer,assistant_director",Mimi Belt,,,"producer,writer,production_manager",14,"['Comedy', None, None]",10.0,0,9167,MG,ME,47788,8.3
35,tvEpisode,Ancient History,Ancient History,0,2013,,44.0,Sanaa Hamri,736,,,"director,producer,editor",Robert Doherty,,,"producer,writer,miscellaneous",15,"['Crime', 'Drama', 'Mystery']",102.0,0,9835,IL,SH,23896,7.8
36,tvEpisode,Chapter 2,Chapter 2,0,2017,,,Trevor Caskey,42,,,"writer,director,producer",Jenny Berky,,,"writer,producer,actress",9,"['Mystery', None, None]",21.0,1,9971,SX,AF,23667,8.5
37,tvEpisode,Fatal Impact: Part 2,Fatal Impact: Part 2,0,1997,,60.0,Christian I. Nyby II,43,1941.0,,"director,assistant_director,writer",Joyce Burditt,,,"writer,producer,miscellaneous",20,"['Crime', 'Drama', 'Mystery']",20.0,1,8156,SJ,NU,61752,7.7
38,tvEpisode,Kusaihana of the Botanical Garden,Kusaihana of the Botanical Garden,0,1998,,22.0,Fred Butter,173,1957.0,,"director,actor",Junichi Masuda,,,"writer,composer,director",33,"['Action', 'Adventure', 'Animation']",124.0,0,4777,JM,AD,31962,6.9
39,short,Oh for Three,Oh for Three,0,2003,,7.0,Guy Shahar,24,1982.0,,"producer,director,writer",David Broitman,,,"producer,actor,writer",12,"['Comedy', 'Romance', 'Short']",1.0,1,6094,GB,BJ,55007,8.6
40,tvSeries,Galini,Galini,0,1976,,45.0,Kostas Lyhnaras,7,1938.0,,"director,assistant_director,writer",Takis Hadjianagnostou,,,writer,6,"['Drama', None, None]",2.0,0,5753,LU,CU,12499,7.0
41,movie,Meri Aan,Meri Aan,0,1993,,,Roopesh Kumar,8,,,"actor,director,producer",Mahtab Farashahi,,,writer,8,"['Drama', 'Family', 'Romance']",0.0,1,1679,LA,SD,61352,4.8
42,tvEpisode,The Hot Watch,The Hot Watch,0,1973,,,John Rich,84,1925.0,2012.0,"director,producer,miscellaneous",Norman Lear,1922.0,,"writer,producer,production_manager",13,"['Comedy', 'Drama', None]",70.0,1,3102,NE,AT,859,8.3
43,tvEpisode,Rainmaker,Rainmaker,0,2011,,43.0,Norberto Barba,38,1963.0,,"producer,director,actor",Justin Zackham,,,"writer,producer,director",9,"['Crime', 'Drama', 'Sport']",14.0,0,5736,CF,PS,56124,7.7
44,movie,Summer '82: When Zappa Came to Sicily,Summer '82: When Zappa Came to Sicily,0,2014,,81.0,Salvo Cuccia,22,,,"director,writer,sound_department",Salvo Cuccia,,,"director,writer,sound_department",37,"['Biography', 'Documentary', 'Music']",15.0,1,8533,PR,FK,46317,7.2
45,video,Vassalord,Vassarodo,0,2013,,28.0,Kazuto Nakazawa,48,1968.0,,"animation_department,art_department,director",Nanae Chrono,,,writer,9,"['Animation', 'Drama', 'Horror']",35.0,1,1421,SB,EC,47720,6.5
46,tvEpisode,Hindsight: Part 3,Hindsight: Part 3,0,2008,,23.0,Nicholas Filippi,134,,,"art_department,miscellaneous,director",Greg Johnson,,,"writer,miscellaneous,producer",17,"['Action', 'Adventure', 'Animation']",131.0,1,4046,AW,MK,5236,8.1
47,movie,Demon Seed,Demon Seed,0,1977,,94.0,Donald Cammell,6940,1934.0,1996.0,"director,writer,actor",Dean R. Koontz,1945.0,,"writer,producer",10,"['Horror', 'Sci-Fi', None]",2718.0,0,5439,UA,KH,20053,6.3
48,video,Models: The Truth Behind the Scenes,Models: The Truth Behind the Scenes,1,1998,,,Kris Kramski,6,,,"director,writer,producer",Kris Kramski,,,"director,writer,producer",35,"['Adult', 'Drama', None]",2.0,0,8698,FJ,PH,1452,7.4
49,movie,Betrayed,Betrayed,0,1988,,127.0,Costa-Gavras,4831,1933.0,,"director,writer,producer",Joe Eszterhas,1944.0,,"writer,producer,miscellaneous",8,"['Drama', 'Thriller', None]",4747.0,1,5904,CD,FJ,21768,6.3
50,movie,DeepStar Six,DeepStar Six,0,1989,,105.0,Sean S. Cunningham,8468,1941.0,,"producer,writer,director",Lewis Abernathy,,,"actor,writer,special_effects",12,"['Action', 'Horror', 'Sci-Fi']",3351.0,0,2875,ET,BD,62546,5.3
51,movie,Beware My Brethren,The Fiend,0,1972,,98.0,Robert Hartford-Davis,298,1923.0,1977.0,"director,producer,writer",Brian Comport,1938.0,2013.0,writer,9,"['Horror', None, None]",92.0,1,7293,AO,AR,46852,4.8
52,tvEpisode,Live Results Show 5,Live Results Show 5,0,2011,,,Phil Heyes,5,1966.0,,director,Ivor Baddiel,,,"writer,miscellaneous",19,"['Music', 'Reality-TV', None]",5.0,1,4092,MX,AU,20906,6.6
53,movie,How the Beatles Changed the World,How the Beatles Changed the World,0,2017,,90.0,Tom O'Dell,532,,,"producer,editor,director",Tom O'Dell,,,"producer,editor,director",33,"['Documentary', 'History', 'Music']",11.0,0,8132,DE,MV,34188,6.8
54,video,Thieves,Thieves,0,1998,,,Ryan Davis,5,1982.0,,"director,actor,writer",Ryan Davis,1982.0,,"director,actor,writer",7,"[nan, None, None]",3.0,0,6752,MP,MK,41607,6.8
55,tvSeries,Night and Day,Nit i dia,0,2016,,,Manuel Huerga,199,1957.0,,"director,editor,writer",Lluís Arcarazo,,,"writer,producer,director",9,"['Thriller', None, None]",62.0,0,8125,ML,BA,16218,7.8
56,movie,Ambición,Ambición,0,1939,,72.0,Adelqui Migliar,6,1891.0,1956.0,"actor,director,writer",José B. Cairola,,,writer,8,"['Drama', None, None]",4.0,0,-1,BG,SN,6957,7.6
57,tvEpisode,Gyakushû no sukuryûzu,Gyakushû no sukuryûzu,0,1999,,,Tensai Okamura,5,1961.0,,"director,art_department,animation_department",Ryota Yamaguchi,,,writer,21,"['Action', 'Adventure', 'Animation']",5.0,0,-1,AL,TZ,58438,7.6
58,tvEpisode,Gemeinheiten,Gemeinheiten,0,2015,,,Sabine Derflinger,20,1963.0,,"director,writer,miscellaneous",Uli Brée,1964.0,,"writer,actor,director",12,"['Comedy', 'Drama', None]",4.0,1,5629,CM,BW,10861,6.3
59,movie,Send a Gorilla,Send a Gorilla,0,1988,,,Melanie Read,8,,,"producer,director,writer",Melanie Read,,,"producer,director,writer",14,"['Comedy', None, None]",7.0,0,7349,EE,HR,26489,5.0
